"Supplementary Table 4. IER, proportion and size of the 65+ year old Medicare population, and proportion of the deaths among the 65+ year old Medicare population that are expected to exceed K-fold of US average risk within each of the 3113 US counties",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
06109,38.021451,-119.964708,California,Tuolumne County,7301,"2.25 (2.11, 2.73)","63.3% (60.1%, 71.4%)","  4,619 (4,388, 5,213)","39.2% (36.0%, 48.2%)","  2,860 (2,630, 3,516)","8.5% (7.3%, 12.7%)","    617 (537, 926)","1.4% (1.1%, 2.5%)","     99 (83, 180)","87.9% (86.2%, 91.9%)","71.1% (68.4%, 78.5%)","29.3% (26.9%, 38.2%)","8.4% (7.4%, 13.1%)"
06111,34.358741,-119.133143,California,Ventura County,67935,"3.8 (3.55, 4.55)","78.6% (76.4%, 84.2%)"," 53,381 (51,909, 57,183)","59.4% (56.4%, 67.1%)"," 40,328 (38,297, 45,558)","22.4% (20.2%, 28.7%)"," 15,223 (13,755, 19,501)","6.5% (5.6%, 9.4%)","  4,438 (3,797, 6,412)","95.7% (94.9%, 97.2%)","87.6% (86.0%, 91.2%)","56.4% (53.3%, 64.0%)","27.7% (25.0%, 35.0%)"
06113,38.679268,-121.903178,California,Yolo County,13402,"4.02 (3.78, 4.81)","81.4% (79.4%, 86.4%)"," 10,909 (10,637, 11,580)","62.7% (60.0%, 70.1%)","  8,408 (8,043, 9,393)","24.4% (22.3%, 30.9%)","  3,270 (2,991, 4,146)","7.2% (6.3%, 10.4%)","    960 (840, 1,388)","96.3% (95.8%, 97.7%)","89.0% (87.7%, 92.3%)","58.2% (55.4%, 65.9%)","28.6% (26.3%, 36.1%)"
06115,39.270026,-121.34428,California,Yuba County,4794,"4.09 (3.87, 4.95)","82.3% (80.2%, 86.9%)","  3,947 (3,845, 4,167)","63.9% (61.1%, 71.0%)","  3,063 (2,928, 3,402)","25.1% (23.2%, 32.0%)","  1,203 (1,111, 1,535)","7.4% (6.7%, 10.9%)","    353 (320, 525)","96.6% (96.0%, 97.8%)","89.4% (88.2%, 92.6%)","58.7% (56.8%, 67.0%)","28.9% (27.4%, 37.4%)"
08001,39.874325,-104.331872,Colorado,Adams County,25284,"3.42 (3.21, 4.1)","77.0% (74.4%, 82.9%)"," 19,462 (18,819, 20,961)","56.4% (53.3%, 64.5%)"," 14,262 (13,470, 16,309)","19.1% (17.3%, 25.2%)","  4,837 (4,368, 6,375)","4.9% (4.2%, 7.4%)","  1,237 (1,066, 1,879)","94.8% (94.0%, 96.6%)","85.2% (83.6%, 89.5%)","50.5% (47.7%, 58.9%)","22.1% (20.0%, 29.2%)"
08003,37.568442,-105.788041,Colorado,Alamosa County,1129,"4.21 (3.96, 5.03)","83.4% (81.2%, 88.0%)","    941 (917, 994)","65.3% (62.5%, 72.3%)","    737 (706, 817)","26.2% (24.0%, 33.1%)","    295 (271, 373)","7.8% (6.8%, 11.2%)","     88 (77, 126)","96.8% (96.3%, 98.0%)","90.0% (88.7%, 93.1%)","59.9% (57.1%, 67.4%)","29.8% (27.2%, 37.2%)"
08005,39.644632,-104.331733,Colorado,Arapahoe County,41000,"2.47 (2.32, 3)","65.5% (62.4%, 73.1%)"," 26,836 (25,570, 29,956)","42.4% (39.4%, 51.2%)"," 17,392 (16,147, 20,991)","10.6% (9.3%, 15.4%)","  4,352 (3,835, 6,306)","2.0% (1.7%, 3.5%)","    835 (708, 1,435)","89.7% (88.3%, 93.2%)","75.1% (72.6%, 81.6%)","35.2% (32.8%, 44.3%)","11.9% (10.7%, 17.6%)"
08007,37.202395,-107.050863,Colorado,Archuleta County,1664,"1.58 (1.46, 1.93)","50.3% (45.8%, 60.8%)","    837 (763, 1,012)","24.5% (21.3%, 33.8%)","    408 (354, 562)","2.6% (2.1%, 4.8%)","     44 (35, 79)","0.2% (0.1%, 0.5%)","      3 (2, 8)","77.1% (73.7%, 84.4%)","51.8% (47.8%, 62.3%)","11.4% (9.7%, 17.6%)","1.6% (1.2%, 3.1%)"
08009,37.303144,-102.535457,Colorado,Baca County,452,"2.97 (2.77, 3.62)","70.1% (67.4%, 77.0%)","    317 (305, 348)","48.9% (45.8%, 57.3%)","    221 (207, 259)","15.2% (13.5%, 20.8%)","     69 (61, 94)","3.7% (3.1%, 5.9%)","     17 (14, 27)","92.6% (91.5%, 95.1%)","81.3% (79.2%, 86.5%)","45.7% (42.6%, 54.5%)","19.4% (17.2%, 26.2%)"
08011,37.931891,-103.077584,Colorado,Bent County,557,"4.16 (3.9, 4.99)","80.6% (78.5%, 85.8%)","    449 (437, 478)","62.4% (59.7%, 69.8%)","    348 (332, 389)","25.4% (23.2%, 31.9%)","    141 (129, 178)","8.0% (7.0%, 11.3%)","     45 (39, 63)","96.4% (95.8%, 97.7%)","89.5% (88.2%, 92.6%)","60.7% (57.8%, 68.0%)","31.9% (29.1%, 39.5%)"
08013,40.094826,-105.398382,Colorado,Boulder County,22981,"1.89 (1.75, 2.3)","56.2% (52.1%, 65.5%)"," 12,914 (11,965, 15,041)","31.7% (28.4%, 40.8%)","  7,283 (6,520, 9,380)","5.4% (4.4%, 8.6%)","  1,233 (1,012, 1,974)","0.7% (0.5%, 1.3%)","    156 (120, 308)","83.2% (80.8%, 88.6%)","63.0% (59.4%, 71.8%)","21.1% (18.5%, 29.2%)","4.8% (4.0%, 8.0%)"
08014,39.953382,-105.052125,Colorado,Broomfield County,4339,"1.73 (1.61, 2.09)","51.0% (47.3%, 60.0%)","  2,213 (2,053, 2,604)","27.8% (24.9%, 35.9%)","  1,205 (1,081, 1,557)","4.5% (3.8%, 7.2%)","    197 (166, 313)","0.6% (0.5%, 1.1%)","     25 (20, 48)","80.4% (77.9%, 86.1%)","59.5% (56.3%, 68.2%)","19.5% (17.3%, 26.7%)","4.5% (3.7%, 7.3%)"
08015,38.738246,-106.316972,Colorado,Chaffee County,2383,"1.55 (1.44, 1.88)","47.2% (43.4%, 56.8%)","  1,125 (1,033, 1,353)","23.7% (21.0%, 31.7%)","    566 (500, 756)","3.1% (2.5%, 5.1%)","     73 (60, 122)","0.3% (0.2%, 0.6%)","      7 (5, 15)","76.5% (73.6%, 83.2%)","53.1% (49.6%, 62.3%)","14.0% (12.1%, 20.2%)","2.5% (2.0%, 4.4%)"
08017,38.835386,-102.604585,Colorado,Cheyenne County,210,"1.95 (1.82, 2.36)","54.6% (51.1%, 63.0%)","    115 (107, 132)","32.0% (29.1%, 40.1%)","     67 (61, 84)","6.5% (5.6%, 9.8%)","     14 (12, 21)","1.1% (0.8%, 1.9%)","      2 (2, 4)","83.9% (81.9%, 88.7%)","65.9% (63.0%, 73.5%)","26.3% (23.5%, 34.1%)","7.7% (6.5%, 11.6%)"
08019,39.689403,-105.670791,Colorado,Clear Creek County,975,"1.48 (1.39, 1.8)","46.2% (42.3%, 56.1%)","    450 (412, 547)","21.9% (19.5%, 30.2%)","    214 (190, 294)","2.3% (1.9%, 4.3%)","     23 (19, 42)","0.2% (0.1%, 0.4%)","      2 (1, 4)","74.4% (71.6%, 81.9%)","49.1% (46.1%, 59.6%)","10.8% (9.6%, 17.0%)","1.5% (1.3%, 3.1%)"
08021,37.213406,-106.176447,Colorado,Conejos County,821,"3.41 (3.18, 4.11)","77.7% (75.1%, 83.7%)","    638 (617, 687)","57.0% (53.7%, 65.3%)","    468 (441, 536)","19.1% (17.0%, 25.4%)","    156 (139, 208)","4.7% (4.0%, 7.3%)","     39 (33, 60)","94.9% (93.9%, 96.8%)","85.2% (83.3%, 89.7%)","49.8% (46.6%, 58.5%)","21.2% (19.0%, 28.5%)"
08023,37.277547,-105.42894,Colorado,Costilla County,482,"4.29 (4.01, 5.12)","84.7% (82.7%, 89.3%)","    408 (399, 431)","66.9% (64.0%, 74.4%)","    323 (308, 359)","27.0% (24.5%, 34.1%)","    130 (118, 164)","8.0% (6.9%, 11.5%)","     38 (33, 55)","97.1% (96.5%, 98.3%)","90.5% (89.2%, 93.5%)","60.2% (57.3%, 68.0%)","29.6% (26.9%, 37.6%)"
08025,38.321956,-103.787562,Colorado,Crowley County,389,"3.98 (3.75, 4.79)","80.3% (78.0%, 85.5%)","    312 (304, 333)","61.6% (58.7%, 69.1%)","    240 (228, 269)","24.0% (21.9%, 30.6%)","     93 (85, 119)","7.2% (6.3%, 10.4%)","     28 (24, 40)","96.1% (95.5%, 97.5%)","88.7% (87.3%, 92.1%)","58.3% (55.6%, 66.0%)","29.2% (26.7%, 37.0%)"
08027,38.101994,-105.373515,Colorado,Custer County,710,"1.47 (1.37, 1.8)","47.8% (43.3%, 58.9%)","    339 (307, 418)","21.4% (18.6%, 30.8%)","    152 (132, 219)","1.7% (1.4%, 3.5%)","     12 (10, 25)","0.1% (0.1%, 0.3%)","      1 (1, 2)","73.8% (70.5%, 82.3%)","46.1% (42.4%, 58.0%)","7.8% (6.8%, 13.6%)","0.8% (0.7%, 1.9%)"
08029,38.861756,-107.864757,Colorado,Delta County,4049,"2.09 (1.95, 2.53)","61.5% (58.0%, 70.1%)","  2,489 (2,349, 2,839)","36.5% (33.3%, 45.8%)","  1,479 (1,348, 1,855)","6.9% (5.9%, 10.6%)","    278 (237, 431)","0.9% (0.8%, 1.8%)","     38 (31, 71)","86.3% (84.4%, 90.9%)","67.7% (64.6%, 75.7%)","24.7% (22.2%, 33.0%)","6.1% (5.2%, 9.7%)"
08031,39.761849,-104.880625,Colorado,Denver County,38787,"4.09 (3.85, 4.89)","81.6% (79.5%, 86.5%)"," 31,635 (30,839, 33,538)","63.1% (60.4%, 70.3%)"," 24,491 (23,410, 27,265)","25.0% (22.9%, 31.6%)","  9,697 (8,890, 12,255)","7.5% (6.6%, 10.8%)","  2,914 (2,573, 4,190)","96.5% (95.9%, 97.7%)","89.3% (88.0%, 92.5%)","59.2% (56.7%, 66.8%)","29.8% (27.6%, 37.1%)"
08033,37.747602,-108.530383,Colorado,Dolores County,244,"2.1 (1.98, 2.57)","63.0% (59.3%, 71.6%)","    154 (145, 175)","37.3% (34.2%, 47.0%)","     91 (83, 115)","6.7% (5.8%, 10.8%)","     16 (14, 26)","0.8% (0.7%, 1.7%)","      2 (2, 4)","86.6% (84.8%, 91.3%)","67.5% (64.8%, 76.2%)","23.5% (21.9%, 32.7%)","5.4% (4.8%, 9.4%)"
08035,39.326435,-104.926199,Colorado,Douglas County,19058,"1.59 (1.48, 1.93)","48.2% (44.4%, 57.6%)","  9,180 (8,460, 10,970)","24.6% (21.9%, 32.7%)","  4,686 (4,177, 6,241)","3.3% (2.8%, 5.6%)","    629 (530, 1,071)","0.3% (0.3%, 0.7%)","     64 (51, 137)","77.3% (74.7%, 83.9%)","54.3% (51.1%, 63.9%)","14.9% (13.2%, 21.7%)","2.8% (2.3%, 5.0%)"
08037,39.630638,-106.692944,Colorado,Eagle County,3260,"1.51 (1.39, 1.83)","48.6% (44.0%, 59.4%)","  1,584 (1,433, 1,936)","22.5% (19.4%, 31.7%)","    734 (632, 1,032)","2.0% (1.6%, 3.8%)","     66 (51, 125)","0.1% (0.1%, 0.3%)","      4 (3, 10)","75.0% (71.4%, 83.0%)","48.2% (44.1%, 59.0%)","9.1% (7.4%, 14.5%)","1.0% (0.8%, 2.1%)"
08039,38.827383,-104.527472,Colorado,Elbert County,2054,"1.46 (1.37, 1.78)","45.4% (41.6%, 55.3%)","    932 (853, 1,136)","21.4% (19.0%, 29.6%)","    440 (391, 608)","2.3% (1.9%, 4.2%)","     46 (39, 86)","0.2% (0.1%, 0.4%)","      4 (3, 9)","73.9% (71.1%, 81.5%)","48.6% (45.6%, 59.1%)","10.6% (9.5%, 16.9%)","1.5% (1.3%, 3.2%)"
08041,39.310817,-104.117928,Colorado,El Paso County,43270,"2.18 (2.03, 2.66)","60.9% (56.9%, 69.3%)"," 26,347 (24,621, 29,997)","37.3% (33.9%, 46.4%)"," 16,121 (14,653, 20,061)","8.0% (6.9%, 12.2%)","  3,468 (2,980, 5,270)","1.3% (1.1%, 2.4%)","    571 (466, 1,054)","87.0% (85.1%, 91.3%)","70.0% (67.0%, 77.7%)","29.0% (26.3%, 38.0%)","8.5% (7.4%, 13.4%)"
08043,38.455658,-105.421438,Colorado,Fremont County,5183,"2.32 (2.17, 2.82)","64.6% (61.4%, 72.6%)","  3,346 (3,184, 3,762)","40.6% (37.4%, 49.7%)","  2,102 (1,939, 2,573)","9.1% (7.9%, 13.5%)","    469 (410, 701)","1.5% (1.3%, 2.7%)","     78 (65, 141)","88.6% (87.0%, 92.5%)","72.4% (69.7%, 79.6%)","30.7% (28.4%, 39.8%)","9.1% (8.0%, 14.1%)"
08045,39.599352,-107.90978,Colorado,Garfield County,3938,"1.92 (1.8, 2.33)","58.3% (54.7%, 67.5%)","  2,296 (2,155, 2,657)","32.9% (29.8%, 42.2%)","  1,297 (1,175, 1,662)","5.4% (4.5%, 8.6%)","    211 (176, 337)","0.6% (0.5%, 1.2%)","     25 (19, 49)","84.0% (81.7%, 89.2%)","63.4% (60.1%, 72.0%)","20.4% (18.1%, 28.1%)","4.4% (3.7%, 7.3%)"
08047,39.861082,-105.528947,Colorado,Gilpin County,499,"1.25 (1.17, 1.52)","39.1% (35.2%, 50.2%)","    195 (176, 250)","15.2% (13.2%, 23.0%)","     76 (66, 115)","0.9% (0.7%, 2.0%)","      4 (4, 10)","0.0% (0.0%, 0.1%)","      0 (0, 1)","65.7% (62.3%, 75.6%)","36.4% (33.6%, 48.3%)","4.5% (4.0%, 8.8%)","0.3% (0.3%, 0.9%)"
08049,40.123289,-106.095876,Colorado,Grand County,1330,"1.29 (1.2, 1.56)","40.0% (35.9%, 50.6%)","    532 (478, 672)","16.5% (14.2%, 24.1%)","    219 (189, 320)","1.2% (0.9%, 2.3%)","     15 (12, 31)","0.1% (0.0%, 0.2%)","      1 (1, 2)","67.5% (64.0%, 76.6%)","39.4% (35.9%, 50.2%)","5.9% (5.0%, 10.1%)","0.5% (0.4%, 1.2%)"
08051,38.669679,-107.078108,Colorado,Gunnison County,1068,"1.68 (1.56, 2.03)","54.3% (50.2%, 64.5%)","    580 (536, 689)","27.3% (24.1%, 36.8%)","    291 (258, 393)","3.0% (2.4%, 5.4%)","     32 (26, 57)","0.2% (0.2%, 0.5%)","      2 (2, 5)","79.5% (76.6%, 86.2%)","54.5% (50.8%, 64.9%)","12.2% (10.5%, 18.7%)","1.7% (1.3%, 3.2%)"
08053,37.811625,-107.383405,Colorado,Hinsdale County,137,"1.37 (1.26, 1.65)","42.5% (38.3%, 52.7%)","     58 (52, 72)","18.7% (15.9%, 26.5%)","     26 (22, 36)","1.6% (1.2%, 3.0%)","      2 (2, 4)","0.1% (0.1%, 0.2%)","      0 (0, 0)","70.6% (66.8%, 78.8%)","43.8% (39.7%, 53.9%)","7.9% (6.5%, 12.5%)","0.9% (0.7%, 1.8%)"
08055,37.687815,-104.959928,Colorado,Huerfano County,1045,"2.92 (2.72, 3.51)","70.9% (68.2%, 77.9%)","    741 (713, 814)","49.1% (46.0%, 57.6%)","    513 (481, 602)","14.7% (12.9%, 20.0%)","    153 (135, 209)","3.4% (2.8%, 5.3%)","     35 (29, 55)","92.5% (91.4%, 95.1%)","80.8% (78.5%, 85.9%)","43.7% (40.5%, 52.1%)","17.5% (15.3%, 23.6%)"
08057,40.663432,-106.329248,Colorado,Jackson County,155,"2.01 (1.88, 2.47)","59.4% (55.5%, 68.5%)","     92 (86, 106)","34.6% (31.4%, 44.1%)","     54 (49, 68)","6.3% (5.3%, 10.1%)","     10 (8, 16)","0.8% (0.7%, 1.7%)","      1 (1, 3)","85.2% (83.1%, 90.2%)","65.9% (62.7%, 74.7%)","23.3% (21.1%, 32.3%)","5.6% (4.8%, 9.6%)"
08059,39.58646,-105.245601,Colorado,Jefferson County,46809,"1.81 (1.69, 2.19)","52.7% (49.1%, 61.5%)"," 24,659 (22,964, 28,804)","29.5% (26.6%, 37.7%)"," 13,817 (12,460, 17,668)","5.2% (4.4%, 8.1%)","  2,440 (2,067, 3,804)","0.7% (0.6%, 1.4%)","    338 (268, 630)","81.9% (79.6%, 87.2%)","62.0% (58.9%, 70.3%)","21.7% (19.4%, 29.2%)","5.5% (4.6%, 8.6%)"
08061,38.388466,-102.75621,Colorado,Kiowa County,169,"2.15 (2.01, 2.61)","58.7% (55.4%, 66.9%)","     99 (94, 113)","36.0% (33.0%, 44.4%)","     61 (56, 75)","8.1% (7.0%, 12.0%)","     14 (12, 20)","1.5% (1.2%, 2.5%)","      2 (2, 4)","86.5% (84.7%, 90.7%)","70.0% (67.2%, 77.1%)","30.3% (27.4%, 38.7%)","9.7% (8.2%, 14.3%)"
08063,39.30534,-102.603023,Colorado,Kit Carson County,779,"2.52 (2.35, 3.04)","66.7% (63.7%, 74.4%)","    520 (496, 579)","43.6% (40.4%, 52.4%)","    339 (315, 408)","11.0% (9.5%, 15.7%)","     85 (74, 122)","2.1% (1.7%, 3.5%)","     16 (13, 27)","90.2% (88.7%, 93.5%)","75.7% (73.1%, 82.0%)","35.6% (32.5%, 44.2%)","11.9% (10.4%, 17.2%)"
08065,37.287367,-107.839718,Colorado,Lake County,538,"1.94 (1.79, 2.36)","58.4% (54.3%, 67.6%)","    314 (292, 364)","33.2% (29.7%, 42.7%)","    179 (160, 230)","5.5% (4.6%, 8.9%)","     30 (25, 48)","0.7% (0.5%, 1.3%)","      4 (3, 7)","84.2% (81.7%, 89.5%)","63.9% (60.3%, 72.7%)","21.0% (18.4%, 29.2%)","4.6% (3.8%, 7.8%)"
08067,39.204316,-106.349696,Colorado,La Plata County,4847,"1.51 (1.41, 1.84)","46.4% (42.5%, 56.0%)","  2,248 (2,061, 2,715)","22.8% (20.1%, 30.8%)","  1,104 (977, 1,492)","2.7% (2.3%, 4.8%)","    132 (110, 232)","0.2% (0.2%, 0.5%)","     12 (9, 26)","75.4% (72.6%, 82.5%)","51.3% (48.0%, 61.2%)","12.7% (11.1%, 18.9%)","2.1% (1.8%, 3.9%)"
08069,40.663091,-105.482131,Colorado,Larimer County,25757,"1.91 (1.77, 2.32)","56.4% (52.3%, 65.6%)"," 14,532 (13,460, 16,906)","32.1% (28.7%, 41.2%)","  8,259 (7,398, 10,605)","5.6% (4.6%, 8.9%)","  1,436 (1,189, 2,302)","0.7% (0.6%, 1.4%)","    188 (147, 368)","83.5% (81.1%, 88.9%)","63.6% (60.1%, 72.3%)","21.8% (19.4%, 30.0%)","5.2% (4.3%, 8.6%)"
08071,37.318831,-104.04411,Colorado,Las Animas County,1843,"3.03 (2.83, 3.65)","71.8% (69.2%, 78.6%)","  1,324 (1,276, 1,449)","50.5% (47.3%, 58.8%)","    930 (873, 1,084)","15.7% (13.9%, 21.2%)","    290 (256, 391)","3.8% (3.2%, 5.9%)","     70 (58, 108)","93.0% (91.9%, 95.4%)","81.9% (79.8%, 86.8%)","45.9% (42.7%, 54.1%)","19.1% (16.9%, 25.5%)"
08073,38.99374,-103.507555,Colorado,Lincoln County,482,"2.75 (2.56, 3.33)","69.0% (66.1%, 76.2%)","    332 (319, 367)","46.7% (43.5%, 55.4%)","    225 (210, 267)","13.2% (11.5%, 18.4%)","     63 (55, 89)","2.9% (2.4%, 4.6%)","     14 (11, 22)","91.6% (90.3%, 94.5%)","78.9% (76.5%, 84.6%)","40.7% (37.6%, 49.5%)","15.4% (13.5%, 21.6%)"
08075,40.728091,-103.090464,Colorado,Logan County,1984,"3.34 (3.12, 4.01)","75.3% (72.8%, 81.4%)","  1,494 (1,445, 1,615)","54.7% (51.7%, 62.7%)","  1,084 (1,025, 1,243)","18.4% (16.5%, 24.4%)","    365 (328, 483)","4.8% (4.1%, 7.2%)","     94 (82, 143)","94.4% (93.5%, 96.3%)","84.6% (82.8%, 88.9%)","50.1% (47.3%, 58.4%)","22.1% (20.1%, 29.1%)"
08077,39.019492,-108.461837,Colorado,Mesa County,14556,"2.21 (2.07, 2.68)","62.7% (59.5%, 70.9%)","  9,123 (8,655, 10,328)","38.5% (35.3%, 47.6%)","  5,606 (5,144, 6,926)","8.1% (7.0%, 12.2%)","  1,184 (1,022, 1,779)","1.3% (1.1%, 2.3%)","    187 (153, 335)","87.6% (85.8%, 91.7%)","70.5% (67.7%, 77.9%)","28.6% (26.0%, 37.1%)","8.1% (7.0%, 12.4%)"
08079,37.651478,-106.9323,Colorado,Mineral County,123,"1.39 (1.3, 1.68)","43.3% (39.3%, 53.5%)","     53 (48, 66)","19.4% (17.1%, 27.3%)","     24 (21, 34)","1.8% (1.5%, 3.4%)","      2 (2, 4)","0.1% (0.1%, 0.3%)","      0 (0, 0)","71.5% (68.4%, 79.6%)","45.0% (41.9%, 55.6%)","8.6% (7.4%, 13.9%)","1.1% (0.9%, 2.2%)"
08081,40.573984,-108.204521,Colorado,Moffat County,1045,"2.08 (1.94, 2.54)","59.5% (55.6%, 68.2%)","    622 (581, 713)","35.6% (32.3%, 44.7%)","    372 (337, 467)","7.1% (6.0%, 11.0%)","     75 (63, 115)","1.1% (0.9%, 2.0%)","     11 (9, 21)","85.9% (83.9%, 90.6%)","68.0% (64.7%, 75.9%)","26.5% (24.1%, 35.2%)","7.3% (6.2%, 11.5%)"
08083,37.338025,-108.595786,Colorado,Montezuma County,2947,"2.13 (1.99, 2.59)","61.7% (58.2%, 70.1%)","  1,818 (1,716, 2,066)","37.1% (34.0%, 46.3%)","  1,092 (1,002, 1,363)","7.3% (6.3%, 11.3%)","    214 (186, 334)","1.1% (0.9%, 2.0%)","     31 (26, 59)","86.7% (84.9%, 91.1%)","68.6% (65.7%, 76.7%)","26.0% (23.8%, 35.0%)","6.8% (6.0%, 11.2%)"
08085,38.413427,-108.263042,Colorado,Montrose County,4917,"2.27 (2.12, 2.75)","63.4% (60.2%, 71.6%)","  3,117 (2,961, 3,519)","39.5% (36.3%, 48.5%)","  1,941 (1,785, 2,383)","8.7% (7.5%, 12.8%)","    428 (369, 632)","1.4% (1.2%, 2.5%)","     71 (57, 123)","88.1% (86.4%, 92.1%)","71.6% (68.8%, 78.7%)","30.1% (27.3%, 38.4%)","8.9% (7.6%, 13.3%)"
08087,40.262353,-103.807092,Colorado,Morgan County,2209,"3.56 (3.33, 4.25)","76.8% (74.5%, 82.7%)","  1,697 (1,645, 1,828)","56.9% (53.9%, 64.8%)","  1,257 (1,190, 1,431)","20.4% (18.3%, 26.3%)","    450 (405, 582)","5.6% (4.8%, 8.2%)","    124 (106, 181)","95.0% (94.2%, 96.8%)","86.2% (84.5%, 90.0%)","53.4% (50.3%, 61.0%)","25.0% (22.5%, 31.7%)"
08089,37.88417,-103.72126,Colorado,Otero County,1920,"4.89 (4.59, 5.85)","84.6% (82.9%, 89.0%)","  1,625 (1,591, 1,708)","68.4% (66.0%, 74.9%)","  1,313 (1,268, 1,439)","31.0% (28.8%, 37.9%)","    596 (553, 728)","10.9% (9.7%, 14.9%)","    210 (186, 286)","97.5% (97.1%, 98.4%)","92.2% (91.2%, 94.6%)","67.3% (64.7%, 73.8%)","38.6% (35.9%, 46.1%)"
08091,38.1506,-107.767133,Colorado,Ouray County,624,"1.21 (1.12, 1.46)","37.1% (32.8%, 48.1%)","    232 (205, 300)","13.9% (11.5%, 21.0%)","     87 (72, 131)","0.7% (0.5%, 1.5%)","      5 (3, 10)","0.0% (0.0%, 0.1%)","      0 (0, 0)","63.5% (59.2%, 73.5%)","34.0% (30.2%, 44.8%)","3.8% (3.0%, 6.9%)","0.3% (0.2%, 0.6%)"
08093,39.118914,-105.717648,Colorado,Park County,1748,"1.23 (1.15, 1.5)","38.2% (34.2%, 49.2%)","    667 (597, 860)","14.7% (12.6%, 22.2%)","    256 (220, 388)","0.8% (0.7%, 1.9%)","     14 (12, 32)","0.0% (0.0%, 0.1%)","      1 (0, 2)","64.8% (61.2%, 74.7%)","35.6% (32.6%, 47.1%)","4.3% (3.8%, 8.2%)","0.3% (0.3%, 0.8%)"
08095,40.594712,-102.345105,Colorado,Phillips County,509,"2.76 (2.54, 3.34)","67.6% (64.1%, 75.1%)","    344 (326, 382)","45.9% (42.4%, 54.5%)","    234 (216, 277)","13.4% (11.5%, 18.4%)","     68 (59, 94)","3.1% (2.5%, 4.9%)","     16 (13, 25)","91.5% (90.0%, 94.3%)","79.1% (76.4%, 84.6%)","42.3% (38.4%, 50.5%)","17.0% (14.4%, 22.8%)"
08097,39.217533,-106.915943,Colorado,Pitkin County,1768,"1.55 (1.43, 1.89)","49.9% (45.3%, 60.6%)","    882 (800, 1,072)","23.7% (20.5%, 32.9%)","    420 (362, 582)","2.3% (1.8%, 4.3%)","     41 (32, 76)","0.2% (0.1%, 0.4%)","      3 (2, 6)","76.3% (72.7%, 83.8%)","50.1% (45.9%, 60.9%)","10.1% (8.3%, 15.9%)","1.2% (0.9%, 2.5%)"
08099,37.958181,-102.392161,Colorado,Prowers County,1106,"3.73 (3.5, 4.48)","78.0% (75.6%, 83.7%)","    863 (836, 925)","58.6% (55.6%, 66.4%)","    648 (615, 734)","21.8% (19.8%, 28.1%)","    241 (219, 311)","6.3% (5.4%, 9.2%)","     70 (60, 101)","95.5% (94.8%, 97.1%)","87.2% (85.8%, 90.9%)","55.7% (52.8%, 63.5%)","27.1% (24.6%, 34.4%)"
08101,38.170658,-104.489892,Colorado,Pueblo County,15312,"4.61 (4.33, 5.51)","83.5% (81.7%, 88.1%)"," 12,792 (12,514, 13,493)","66.6% (64.1%, 73.4%)"," 10,196 (9,815, 11,232)","29.0% (26.8%, 35.8%)","  4,444 (4,100, 5,478)","9.8% (8.6%, 13.5%)","  1,495 (1,314, 2,061)","97.2% (96.7%, 98.2%)","91.3% (90.2%, 94.0%)","64.8% (62.2%, 71.6%)","35.9% (33.2%, 43.4%)"
08103,39.972606,-108.200685,Colorado,Rio Blanco County,549,"2.16 (2.01, 2.63)","61.0% (57.2%, 69.6%)","    335 (314, 382)","37.1% (33.7%, 46.3%)","    204 (185, 254)","7.8% (6.5%, 11.9%)","     43 (36, 65)","1.2% (1.0%, 2.3%)","      7 (5, 12)","86.9% (84.9%, 91.3%)","69.6% (66.4%, 77.3%)","28.1% (25.3%, 36.8%)","8.0% (6.8%, 12.4%)"
08105,37.485763,-106.453214,Colorado,Rio Grande County,1225,"3.73 (3.49, 4.45)","78.7% (76.5%, 84.4%)","    965 (937, 1,033)","59.3% (56.3%, 67.1%)","    726 (690, 822)","21.9% (19.8%, 28.0%)","    268 (242, 343)","6.2% (5.3%, 8.9%)","     76 (64, 109)","95.6% (94.8%, 97.2%)","87.3% (85.7%, 90.9%)","55.2% (51.9%, 62.8%)","26.3% (23.5%, 33.3%)"
08107,40.48316,-106.985288,Colorado,Routt County,1963,"1.25 (1.15, 1.51)","38.2% (34.1%, 48.7%)","    750 (670, 956)","15.3% (12.9%, 22.6%)","    300 (254, 443)","1.0% (0.8%, 2.0%)","     20 (15, 40)","0.0% (0.0%, 0.1%)","      1 (1, 2)","65.8% (61.8%, 75.1%)","37.5% (33.7%, 48.1%)","5.3% (4.4%, 9.1%)","0.5% (0.4%, 1.1%)"
08109,38.033952,-106.246675,Colorado,Saguache County,765,"2.58 (2.43, 3.09)","71.6% (68.5%, 78.9%)","    548 (524, 604)","47.1% (43.8%, 56.2%)","    360 (335, 430)","11.0% (9.6%, 15.8%)","     84 (74, 121)","1.8% (1.5%, 3.1%)","     14 (11, 24)","91.4% (90.0%, 94.4%)","76.4% (74.0%, 82.8%)","33.1% (30.5%, 42.0%)","9.5% (8.3%, 14.4%)"
