"Supplementary Table 3. IER, proportion and size of the general adult population, and proportion of the deaths that are expected to exceed K-fold of US average risk within each of the 477 US cities",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
0624680,34.0974227833,-117.459241285,CA,Fontana,211820,"0.72 (0.67, 0.78)","13.0% (12.9%, 14.4%)","   27,542 (27,306, 30,566)","7.4% (7.1%, 8.3%)","   15,790 (15,057, 17,671)","2.7% (2.5%, 3.0%)","  5,659 (5,216, 6,275)","1.1% (0.9%, 1.2%)","  2,360 (1,881, 2,609)","76.0% (72.5%, 77.5%)","64.1% (58.9%, 65.5%)","43.9% (37.7%, 44.8%)","28.8% (21.0%, 29.4%)"
0626000,37.5278685405,-121.984121512,CA,Fremont,234954,"0.7 (0.65, 0.76)","11.9% (11.7%, 13.4%)","   28,006 (27,396, 31,435)","7.6% (7.3%, 8.4%)","   17,764 (17,254, 19,637)","3.2% (2.8%, 3.5%)","  7,456 (6,668, 8,220)","1.0% (0.7%, 1.1%)","  2,330 (1,613, 2,700)","73.2% (70.4%, 75.1%)","63.7% (60.2%, 65.1%)","43.7% (37.8%, 45.2%)","21.9% (14.7%, 23.8%)"
0627000,36.7826786711,-119.794126569,CA,Fresno,527422,"1.15 (1.07, 1.2)","18.0% (17.9%, 19.5%)","   94,943 (94,369, 102,977)","11.7% (11.5%, 12.7%)","   61,941 (60,463, 66,977)","5.2% (4.9%, 5.5%)"," 27,307 (25,956, 29,212)","2.4% (2.1%, 2.5%)"," 12,759 (11,188, 13,420)","85.3% (83.5%, 85.8%)","76.9% (73.9%, 77.2%)","59.3% (54.6%, 59.1%)","42.4% (35.5%, 41.9%)"
0628000,33.8840378013,-117.927850895,CA,Fullerton,140402,"0.93 (0.84, 1.04)","14.9% (14.4%, 16.9%)","   20,859 (20,213, 23,758)","9.4% (9.0%, 10.7%)","   13,263 (12,659, 15,077)","4.3% (3.9%, 4.8%)","  6,024 (5,507, 6,780)","1.8% (1.3%, 2.1%)","  2,519 (1,865, 2,935)","79.7% (76.2%, 81.8%)","70.8% (66.1%, 72.8%)","53.5% (46.5%, 55.5%)","34.5% (24.7%, 37.2%)"
0629000,33.7786940635,-117.960111162,CA,Garden Grove,174228,"0.93 (0.83, 1.03)","16.0% (15.4%, 18.0%)","   27,802 (26,786, 31,324)","9.9% (9.3%, 11.2%)","   17,237 (16,244, 19,523)","4.2% (3.7%, 4.7%)","  7,296 (6,390, 8,126)","1.7% (1.1%, 1.9%)","  2,877 (1,966, 3,245)","78.7% (74.7%, 80.6%)","68.7% (63.4%, 70.6%)","49.8% (41.8%, 51.0%)","30.7% (20.3%, 32.0%)"
0630000,34.181889373,-118.24676666,CA,Glendale,203066,"1.16 (1.06, 1.26)","18.7% (18.4%, 20.5%)","   38,048 (37,360, 41,581)","12.6% (12.3%, 13.7%)","   25,662 (24,930, 27,851)","6.0% (5.5%, 6.5%)"," 12,104 (11,129, 13,175)","2.3% (1.7%, 2.6%)","  4,680 (3,520, 5,352)","82.2% (79.5%, 83.7%)","74.1% (70.5%, 75.6%)","55.8% (49.7%, 57.6%)","33.6% (24.9%, 36.2%)"
0632548,33.914667701,-118.347667728,CA,Hawthorne,87863,"0.84 (0.75, 0.99)","16.4% (16.3%, 19.1%)","   14,401 (14,284, 16,772)","9.5% (8.8%, 11.6%)","    8,339 (7,739, 10,228)","3.0% (2.6%, 3.9%)","  2,662 (2,250, 3,388)","1.2% (0.8%, 1.5%)","  1,023 (706, 1,338)","77.7% (73.4%, 81.7%)","65.0% (58.0%, 70.1%)","41.6% (32.9%, 46.5%)","26.3% (16.6%, 30.3%)"
0633000,37.6329591551,-122.077051051,CA,Hayward,160485,"0.79 (0.72, 0.88)","13.3% (12.9%, 15.3%)","   21,399 (20,718, 24,563)","8.1% (7.7%, 9.3%)","   12,999 (12,315, 14,976)","3.4% (3.0%, 3.8%)","  5,387 (4,855, 6,145)","1.3% (0.9%, 1.6%)","  2,142 (1,520, 2,522)","76.5% (72.7%, 78.8%)","66.3% (61.1%, 68.6%)","47.7% (40.5%, 49.8%)","29.8% (20.5%, 31.9%)"
0633182,33.7352277311,-116.994605005,CA,Hemet,85153,"1.99 (1.63, 2.33)","29.8% (28.7%, 32.2%)","   25,351 (24,411, 27,434)","21.5% (20.1%, 23.7%)","   18,300 (17,078, 20,202)","10.5% (9.0%, 12.0%)","  8,914 (7,679, 10,245)","4.8% (3.3%, 5.9%)","  4,051 (2,791, 4,983)","91.0% (88.0%, 92.6%)","84.5% (79.7%, 87.0%)","66.9% (57.9%, 71.1%)","46.6% (32.9%, 52.2%)"
0633434,34.3973476773,-117.314392219,CA,Hesperia,94867,"1.02 (0.87, 1.16)","18.6% (17.8%, 20.8%)","   17,630 (16,902, 19,718)","11.4% (10.3%, 13.2%)","   10,850 (9,805, 12,562)","4.2% (3.5%, 5.0%)","  4,006 (3,321, 4,768)","1.7% (1.1%, 2.1%)","  1,650 (1,094, 1,992)","82.0% (77.2%, 84.5%)","71.2% (63.9%, 74.6%)","49.5% (39.6%, 53.0%)","32.6% (20.6%, 35.9%)"
0636000,33.695274907699996,-118.001810806,CA,Huntington Beach,201882,"0.98 (0.9, 1.08)","17.2% (16.8%, 19.1%)","   34,723 (33,882, 38,481)","11.6% (11.2%, 12.8%)","   23,393 (22,670, 25,798)","4.9% (4.3%, 5.5%)","  9,862 (8,789, 11,155)","1.5% (1.1%, 1.9%)","  3,111 (2,153, 3,812)","79.3% (76.7%, 81.3%)","70.5% (67.0%, 72.5%)","48.6% (42.1%, 51.5%)","24.7% (16.8%, 28.2%)"
0636448,33.7298067837,-116.237258141,CA,Indio,89784,"1.34 (1.17, 1.54)","25.8% (25.3%, 28.6%)","   23,154 (22,683, 25,696)","16.6% (15.7%, 19.0%)","   14,885 (14,057, 17,067)","6.2% (5.3%, 7.5%)","  5,615 (4,746, 6,734)","2.3% (1.4%, 2.9%)","  2,060 (1,251, 2,620)","84.8% (81.4%, 87.3%)","74.1% (68.4%, 77.8%)","50.2% (40.5%, 54.7%)","29.6% (17.5%, 34.1%)"
0636546,33.9565748018,-118.344444926,CA,Inglewood,110611,"1.61 (1.4, 1.87)","24.9% (25.1%, 27.6%)","   27,529 (27,716, 30,549)","17.0% (16.4%, 19.4%)","   18,803 (18,121, 21,410)","7.7% (7.1%, 9.0%)","  8,473 (7,848, 9,929)","3.6% (2.9%, 4.4%)","  3,981 (3,198, 4,897)","88.9% (86.5%, 91.0%)","81.3% (76.7%, 84.2%)","63.2% (55.7%, 67.1%)","45.4% (34.4%, 49.9%)"
0636770,33.6780108904,-117.773633283,CA,Irvine,277436,"0.48 (0.45, 0.52)","8.1% (7.8%, 9.1%)","   22,399 (21,518, 25,216)","4.9% (4.7%, 5.5%)","   13,690 (13,133, 15,113)","1.9% (1.7%, 2.1%)","  5,292 (4,589, 5,845)","0.5% (0.3%, 0.6%)","  1,462 (930, 1,678)","65.9% (62.5%, 67.7%)","56.0% (52.0%, 57.1%)","36.1% (29.9%, 37.2%)","16.3% (10.1%, 17.6%)"
0639496,33.6634128948,-117.670683341,CA,Lake Forest,84308,"0.7 (0.62, 0.82)","12.3% (11.6%, 14.5%)","   10,381 (9,789, 12,246)","7.7% (7.2%, 9.0%)","    6,478 (6,034, 7,631)","3.0% (2.4%, 3.6%)","  2,521 (1,994, 3,057)","0.9% (0.4%, 1.2%)","    751 (374, 1,052)","71.8% (66.7%, 76.0%)","61.7% (55.9%, 65.7%)","40.5% (31.0%, 45.2%)","19.6% (9.8%, 25.1%)"
0639892,33.8470531941,-118.122204765,CA,Lakewood,80971,"1.07 (0.95, 1.26)","18.2% (17.8%, 20.9%)","   14,731 (14,396, 16,885)","11.5% (11.0%, 13.5%)","    9,330 (8,881, 10,944)","4.9% (4.4%, 5.8%)","  3,987 (3,575, 4,731)","2.0% (1.4%, 2.6%)","  1,638 (1,132, 2,091)","81.6% (78.0%, 84.8%)","72.0% (66.8%, 75.9%)","52.9% (45.0%, 57.3%)","33.8% (22.8%, 39.3%)"
0640130,34.6934347017,-118.175306356,CA,Lancaster,160323,"0.94 (0.86, 1.06)","17.1% (17.2%, 19.3%)","   27,437 (27,510, 30,997)","10.2% (9.8%, 11.8%)","   16,421 (15,792, 18,997)","3.7% (3.4%, 4.3%)","  5,996 (5,438, 6,972)","1.6% (1.2%, 1.8%)","  2,496 (1,917, 2,940)","80.0% (76.8%, 82.4%)","68.7% (63.3%, 71.6%)","47.7% (40.4%, 50.2%)","31.6% (22.7%, 33.7%)"
0641992,37.6865101361,-121.764357841,CA,Livermore,90290,"0.82 (0.73, 0.96)","13.9% (13.2%, 15.9%)","   12,509 (11,901, 14,390)","9.3% (8.8%, 10.6%)","    8,369 (7,961, 9,546)","4.0% (3.4%, 4.7%)","  3,587 (3,045, 4,283)","1.3% (0.7%, 1.8%)","  1,137 (666, 1,578)","76.5% (72.5%, 79.9%)","67.9% (63.3%, 71.3%)","47.2% (39.0%, 52.3%)","24.1% (14.3%, 30.8%)"
0643000,33.8060144825,-118.160894146,CA,Long Beach,469459,"1 (0.95, 1.07)","16.7% (16.9%, 18.6%)","   78,260 (79,508, 87,439)","10.2% (10.2%, 11.4%)","   47,980 (47,911, 53,653)","4.2% (4.1%, 4.6%)"," 19,631 (19,067, 21,589)","1.9% (1.7%, 2.0%)","  8,785 (7,822, 9,577)","81.2% (79.7%, 82.5%)","71.3% (68.6%, 72.4%)","52.8% (48.4%, 53.3%)","36.5% (30.3%, 36.9%)"
0644000,34.1182277898,-118.408500088,CA,Los Angeles,3999742,"1.1 (1.03, 1.17)","17.5% (17.5%, 19.4%)","  701,624 (698,708, 777,149)","11.2% (11.0%, 12.4%)","  448,172 (440,021, 494,633)","4.9% (4.7%, 5.3%)","196,599 (188,600, 213,895)","2.3% (2.0%, 2.4%)"," 90,644 (80,508, 97,195)","83.7% (82.1%, 84.3%)","74.8% (72.4%, 75.1%)","57.3% (53.4%, 57.1%)","40.3% (34.6%, 39.9%)"
0644574,33.9239616867,-118.201648375,CA,Lynwood,71115,"1.03 (0.85, 1.18)","17.1% (16.2%, 19.0%)","   12,172 (11,502, 13,507)","10.4% (9.0%, 12.1%)","    7,405 (6,394, 8,576)","3.8% (3.2%, 4.5%)","  2,726 (2,287, 3,230)","1.9% (1.5%, 2.2%)","  1,352 (1,067, 1,593)","84.4% (79.2%, 86.6%)","74.3% (65.9%, 77.4%)","54.9% (45.3%, 58.2%)","41.9% (31.0%, 45.0%)"
0645484,37.7961925102,-121.231230612,CA,Manteca,79275,"1.11 (0.96, 1.29)","18.4% (17.7%, 21.0%)","   14,555 (14,012, 16,641)","11.7% (10.9%, 13.7%)","    9,236 (8,620, 10,827)","5.0% (4.4%, 5.9%)","  3,964 (3,497, 4,658)","2.2% (1.5%, 2.7%)","  1,724 (1,193, 2,136)","82.5% (78.5%, 85.5%)","73.2% (67.4%, 76.8%)","54.7% (46.1%, 58.6%)","36.8% (24.8%, 41.5%)"
0646842,33.6909533045,-117.18487699,CA,Menifee,90599,"1.44 (1.23, 1.69)","23.8% (22.9%, 26.2%)","   21,529 (20,731, 23,730)","16.5% (15.6%, 18.5%)","   14,970 (14,102, 16,780)","7.6% (6.6%, 8.8%)","  6,895 (5,996, 7,997)","3.1% (2.1%, 3.9%)","  2,801 (1,876, 3,544)","87.3% (84.0%, 89.4%)","79.5% (74.6%, 82.5%)","60.0% (51.5%, 64.5%)","38.0% (25.5%, 43.8%)"
0646898,37.3055863217,-120.477710571,CA,Merced,83100,"1.06 (0.88, 1.22)","17.0% (16.0%, 19.0%)","   14,086 (13,336, 15,779)","10.9% (9.8%, 12.5%)","    9,083 (8,164, 10,417)","4.7% (4.0%, 5.5%)","  3,912 (3,335, 4,556)","2.2% (1.5%, 2.6%)","  1,804 (1,258, 2,150)","84.4% (79.6%, 86.6%)","75.7% (68.7%, 78.5%)","57.6% (48.0%, 60.6%)","40.9% (27.9%, 44.3%)"
0647766,37.433869763,-121.892083025,CA,Milpitas,78108,"0.5 (0.44, 0.58)","9.0% (8.3%, 10.6%)","    7,056 (6,494, 8,293)","5.7% (5.2%, 6.6%)","    4,446 (4,098, 5,149)","1.9% (1.4%, 2.5%)","  1,526 (1,059, 1,917)","0.4% (0.2%, 0.7%)","    341 (120, 520)","67.2% (61.5%, 71.1%)","56.9% (50.5%, 60.6%)","33.2% (22.5%, 38.3%)","12.4% (4.3%, 17.3%)"
0648256,33.6095976891,-117.655029608,CA,Mission Viejo,96009,"0.87 (0.78, 1.01)","15.6% (14.9%, 18.1%)","   14,962 (14,314, 17,403)","9.9% (9.3%, 11.4%)","    9,462 (8,949, 10,926)","3.9% (3.2%, 4.7%)","  3,751 (3,096, 4,472)","1.2% (0.7%, 1.6%)","  1,135 (629, 1,557)","74.3% (70.2%, 78.0%)","64.2% (59.0%, 68.0%)","42.7% (33.9%, 47.1%)","21.0% (11.5%, 26.3%)"
0648354,37.6615478221,-120.988548061,CA,Modesto,214220,"1.17 (1.07, 1.27)","20.1% (20.0%, 22.0%)","   43,035 (42,876, 47,033)","13.0% (12.7%, 14.3%)","   27,830 (27,199, 30,722)","5.4% (5.0%, 6.0%)"," 11,635 (10,792, 12,841)","2.2% (1.8%, 2.5%)","  4,827 (3,822, 5,378)","84.0% (81.6%, 85.3%)","74.6% (71.0%, 76.2%)","54.5% (48.5%, 56.1%)","35.5% (26.9%, 37.2%)"
0649270,33.9244314112,-117.204501895,CA,Moreno Valley,207211,"0.9 (0.83, 0.98)","16.2% (16.4%, 18.0%)","   33,595 (33,897, 37,220)","10.0% (9.7%, 11.2%)","   20,652 (20,128, 23,151)","3.7% (3.4%, 4.2%)","  7,695 (7,134, 8,624)","1.5% (1.2%, 1.7%)","  3,188 (2,585, 3,604)","81.2% (78.6%, 82.8%)","70.5% (66.1%, 72.4%)","49.2% (42.8%, 50.8%)","32.3% (24.4%, 33.8%)"
0649670,37.3999252379,-122.079544343,CA,Mountain View,81443,"0.58 (0.51, 0.67)","9.7% (9.2%, 10.9%)","    7,860 (7,466, 8,856)","6.8% (6.5%, 7.6%)","    5,545 (5,289, 6,170)","2.9% (2.3%, 3.5%)","  2,327 (1,904, 2,817)","0.8% (0.4%, 1.2%)","    666 (362, 952)","75.8% (71.9%, 78.6%)","68.2% (63.8%, 71.1%)","46.0% (36.9%, 51.4%)","21.6% (11.8%, 27.8%)"
0650076,33.5719743356,-117.190921143,CA,Murrieta,113316,"1.16 (1.05, 1.32)","17.8% (17.6%, 20.0%)","   20,216 (19,988, 22,652)","11.9% (11.5%, 13.4%)","   13,437 (13,073, 15,163)","5.7% (5.4%, 6.5%)","  6,462 (6,080, 7,343)","2.5% (2.0%, 3.0%)","  2,831 (2,220, 3,406)","83.5% (80.7%, 85.8%)","75.6% (71.7%, 78.1%)","58.9% (52.9%, 61.9%)","39.3% (30.0%, 43.7%)"
0650258,38.2980424649,-122.301093331,CA,Napa,79782,"0.8 (0.68, 0.94)","14.6% (13.7%, 16.9%)","   11,655 (10,919, 13,465)","9.5% (8.7%, 11.1%)","    7,577 (6,934, 8,831)","3.6% (2.7%, 4.4%)","  2,880 (2,190, 3,530)","1.1% (0.5%, 1.5%)","    877 (426, 1,225)","76.9% (71.8%, 80.2%)","67.0% (60.5%, 70.9%)","43.7% (32.6%, 49.1%)","21.8% (10.8%, 27.4%)"
0651182,33.6150103607,-117.867364631,CA,Newport Beach,86151,"0.98 (0.87, 1.15)","18.7% (17.8%, 21.2%)","   16,086 (15,348, 18,272)","12.5% (11.8%, 14.2%)","   10,788 (10,202, 12,230)","4.6% (3.6%, 5.8%)","  3,984 (3,111, 4,996)","1.1% (0.5%, 1.7%)","    963 (463, 1,484)","76.9% (73.1%, 80.4%)","67.2% (62.5%, 70.9%)","41.2% (31.9%, 47.6%)","16.6% (8.0%, 23.7%)"
0652526,33.9068808228,-118.082915204,CA,Norwalk,106086,"1.28 (1.13, 1.44)","21.0% (20.8%, 23.2%)","   22,299 (22,025, 24,605)","13.6% (13.0%, 15.4%)","   14,420 (13,787, 16,292)","5.9% (5.4%, 6.7%)","  6,238 (5,767, 7,145)","2.7% (2.1%, 3.2%)","  2,838 (2,185, 3,355)","85.7% (82.7%, 87.7%)","76.7% (71.9%, 79.4%)","58.0% (50.8%, 60.8%)","40.4% (29.5%, 43.5%)"
0653000,37.790878035,-122.214859257,CA,Oakland,425204,"0.91 (0.85, 1)","16.1% (16.0%, 18.1%)","   68,378 (68,127, 77,008)","10.0% (9.7%, 11.3%)","   42,344 (41,352, 47,979)","3.9% (3.6%, 4.4%)"," 16,589 (15,494, 18,648)","1.6% (1.3%, 1.8%)","  6,632 (5,466, 7,523)","80.1% (78.1%, 81.9%)","69.8% (66.5%, 71.6%)","49.2% (44.2%, 50.7%)","31.3% (24.7%, 32.6%)"
0653322,33.2247457474,-117.308200285,CA,Oceanside,176208,"1.07 (0.98, 1.21)","18.7% (18.3%, 20.8%)","   32,881 (32,210, 36,719)","12.1% (11.6%, 13.7%)","   21,324 (20,486, 24,070)","5.1% (4.7%, 5.9%)","  9,043 (8,203, 10,353)","1.9% (1.5%, 2.4%)","  3,443 (2,571, 4,156)","81.8% (79.1%, 83.9%)","72.4% (68.5%, 74.8%)","52.1% (45.6%, 54.9%)","31.4% (22.6%, 34.6%)"
0653896,34.0392649464,-117.606427103,CA,Ontario,175850,"1.07 (0.98, 1.17)","18.8% (18.8%, 20.6%)","   33,064 (33,004, 36,269)","11.5% (11.2%, 12.9%)","   20,262 (19,617, 22,679)","4.3% (4.0%, 4.8%)","  7,569 (7,006, 8,512)","1.9% (1.6%, 2.2%)","  3,415 (2,848, 3,846)","83.5% (80.9%, 85.0%)","73.0% (68.5%, 74.9%)","52.5% (46.1%, 54.0%)","37.2% (28.9%, 38.3%)"
0653980,33.8046419567,-117.8231855,CA,Orange,140557,"0.76 (0.69, 0.85)","13.0% (12.5%, 14.7%)","   18,253 (17,540, 20,712)","8.2% (7.8%, 9.3%)","   11,597 (11,000, 13,135)","3.5% (3.0%, 3.9%)","  4,847 (4,267, 5,525)","1.2% (0.8%, 1.5%)","  1,739 (1,161, 2,109)","77.1% (73.2%, 79.3%)","67.5% (62.4%, 69.7%)","47.6% (40.0%, 50.2%)","27.2% (17.7%, 30.1%)"
0654652,34.1959237731,-119.18187657,CA,Oxnard,210038,"0.96 (0.86, 1.04)","16.4% (15.9%, 18.1%)","   34,431 (33,392, 37,924)","10.1% (9.5%, 11.2%)","   21,159 (19,893, 23,522)","4.1% (3.7%, 4.5%)","  8,562 (7,782, 9,473)","1.8% (1.4%, 2.0%)","  3,773 (2,943, 4,173)","81.6% (78.3%, 82.9%)","71.5% (66.6%, 72.9%)","52.4% (45.6%, 53.5%)","35.8% (26.6%, 36.5%)"
0655156,34.5944899803,-118.105772328,CA,Palmdale,157507,"1.01 (0.92, 1.11)","17.2% (17.1%, 19.3%)","   27,077 (27,013, 30,436)","10.3% (9.9%, 11.8%)","   16,284 (15,630, 18,656)","4.0% (3.7%, 4.6%)","  6,306 (5,840, 7,208)","1.8% (1.5%, 2.1%)","  2,848 (2,303, 3,250)","80.9% (77.6%, 83.0%)","70.4% (65.2%, 72.7%)","51.3% (44.3%, 53.0%)","36.0% (27.1%, 37.5%)"
0656000,34.1597634806,-118.138921644,CA,Pasadena,142632,"1.05 (0.96, 1.17)","16.5% (16.4%, 18.4%)","   23,491 (23,424, 26,248)","10.6% (10.4%, 12.0%)","   15,150 (14,791, 17,121)","4.8% (4.6%, 5.5%)","  6,898 (6,534, 7,769)","2.2% (1.8%, 2.5%)","  3,075 (2,500, 3,573)","82.5% (79.7%, 84.5%)","73.9% (69.9%, 76.1%)","56.7% (50.9%, 59.0%)","38.6% (29.9%, 41.5%)"
0656700,33.7897346094,-117.223291831,CA,Perris,77895,"0.75 (0.65, 0.86)","13.8% (13.1%, 15.6%)","   10,769 (10,189, 12,116)","8.4% (7.3%, 9.7%)","    6,515 (5,715, 7,573)","3.0% (2.5%, 3.6%)","  2,350 (1,947, 2,800)","1.2% (0.8%, 1.5%)","    953 (609, 1,177)","79.2% (73.6%, 81.9%)","68.0% (59.5%, 71.5%)","46.4% (36.6%, 50.1%)","29.8% (18.1%, 33.8%)"
0657792,37.6656092171,-121.880775002,CA,Pleasanton,83007,"0.78 (0.69, 0.91)","13.0% (12.3%, 15.2%)","   10,777 (10,196, 12,634)","8.7% (8.3%, 9.9%)","    7,210 (6,853, 8,219)","3.7% (3.0%, 4.4%)","  3,070 (2,470, 3,649)","1.1% (0.6%, 1.5%)","    891 (462, 1,248)","73.2% (68.6%, 76.7%)","64.8% (59.9%, 67.8%)","44.1% (34.7%, 48.9%)","20.8% (10.9%, 26.6%)"
0658072,34.0585026366,-117.762551658,CA,Pomona,152946,"1.19 (1.06, 1.29)","18.8% (18.7%, 20.5%)","   28,715 (28,551, 31,402)","11.9% (11.5%, 13.3%)","   18,272 (17,538, 20,267)","5.1% (4.8%, 5.7%)","  7,855 (7,380, 8,703)","2.5% (2.1%, 2.8%)","  3,808 (3,177, 4,253)","85.1% (82.2%, 86.4%)","76.3% (71.6%, 77.8%)","58.8% (52.3%, 60.1%)","43.2% (34.1%, 44.3%)"
0659451,34.1245895555,-117.56617587,CA,Rancho Cucamonga,177446,"0.85 (0.81, 0.95)","15.5% (15.8%, 17.7%)","   27,565 (28,044, 31,483)","9.0% (9.0%, 10.5%)","   15,999 (15,903, 18,683)","3.3% (3.1%, 3.8%)","  5,888 (5,574, 6,817)","1.3% (1.1%, 1.6%)","  2,348 (1,907, 2,761)","76.6% (74.5%, 79.3%)","64.8% (61.3%, 67.7%)","44.4% (38.9%, 46.7%)","28.0% (21.0%, 30.3%)"
0659920,40.5697591271,-122.365026322,CA,Redding,91788,"0.93 (0.78, 1.08)","16.7% (15.2%, 18.7%)","   15,299 (13,966, 17,189)","10.9% (9.8%, 12.4%)","   10,020 (8,966, 11,350)","4.5% (3.4%, 5.3%)","  4,112 (3,158, 4,836)","1.5% (0.7%, 2.0%)","  1,353 (676, 1,809)","79.4% (74.1%, 82.4%)","69.9% (63.2%, 73.3%)","48.0% (37.0%, 52.7%)","25.4% (13.2%, 31.3%)"
0659962,34.0511315317,-117.170935294,CA,Redlands,71562,"1.23 (1.07, 1.47)","20.8% (20.1%, 23.7%)","   14,864 (14,403, 16,927)","13.7% (13.0%, 16.0%)","    9,820 (9,285, 11,420)","6.1% (5.3%, 7.2%)","  4,360 (3,831, 5,189)","2.5% (1.6%, 3.2%)","  1,757 (1,171, 2,310)","84.2% (80.6%, 87.3%)","75.3% (70.2%, 79.3%)","55.9% (47.5%, 61.0%)","35.1% (23.1%, 41.7%)"
0660018,33.8575280159,-118.376567893,CA,Redondo Beach,67908,"0.79 (0.71, 0.95)","13.6% (13.0%, 16.3%)","    9,227 (8,832, 11,062)","8.3% (7.9%, 10.0%)","    5,656 (5,366, 6,766)","3.4% (3.0%, 4.2%)","  2,329 (2,010, 2,845)","1.1% (0.7%, 1.6%)","    766 (465, 1,090)","72.9% (68.8%, 77.7%)","62.7% (57.7%, 67.5%)","43.1% (35.5%, 48.3%)","22.7% (13.3%, 29.3%)"
0660102,37.5009145276,-122.224767617,CA,Redwood City,86683,"0.6 (0.54, 0.7)","9.9% (9.3%, 12.0%)","    8,593 (8,070, 10,434)","5.8% (5.4%, 7.0%)","    5,043 (4,666, 6,112)","2.3% (1.9%, 2.8%)","  2,007 (1,686, 2,408)","0.9% (0.5%, 1.1%)","    736 (439, 955)","69.4% (63.8%, 73.5%)","59.0% (52.6%, 62.8%)","41.0% (32.2%, 44.5%)","24.0% (13.7%, 27.8%)"
0660466,34.1128158089,-117.388535978,CA,Rialto,103555,"1.03 (0.9, 1.16)","17.9% (17.5%, 19.9%)","   18,567 (18,172, 20,657)","11.0% (10.1%, 12.6%)","   11,379 (10,474, 13,034)","4.1% (3.6%, 4.8%)","  4,286 (3,751, 4,984)","1.9% (1.5%, 2.2%)","  1,951 (1,499, 2,278)","83.2% (79.1%, 85.3%)","72.8% (66.1%, 75.5%)","52.7% (44.2%, 55.2%)","37.5% (26.9%, 39.7%)"
0660620,37.9479710365,-122.336803759,CA,Richmond,110037,"0.77 (0.67, 0.89)","13.6% (12.8%, 15.6%)","   14,920 (14,050, 17,143)","8.5% (7.8%, 9.9%)","    9,396 (8,627, 10,931)","3.4% (2.7%, 4.0%)","  3,703 (2,996, 4,421)","1.2% (0.7%, 1.5%)","  1,324 (762, 1,691)","77.4% (72.1%, 80.5%)","67.3% (60.6%, 70.7%)","46.3% (36.2%, 50.0%)","26.6% (15.0%, 30.9%)"
0662000,33.9381251685,-117.394845824,CA,Riverside,327722,"0.89 (0.83, 0.95)","15.0% (15.1%, 16.5%)","   49,197 (49,457, 54,121)","9.3% (9.1%, 10.2%)","   30,425 (29,920, 33,452)","3.8% (3.6%, 4.1%)"," 12,404 (11,817, 13,577)","1.6% (1.4%, 1.8%)","  5,351 (4,524, 5,846)","80.6% (78.4%, 81.7%)","70.7% (67.0%, 71.7%)","51.7% (46.4%, 52.4%)","34.7% (27.5%, 35.2%)"
0662938,38.7657516182,-121.302847708,CA,Roseville,135325,"0.55 (0.49, 0.62)","10.8% (10.2%, 12.0%)","   14,595 (13,862, 16,290)","7.0% (6.5%, 7.9%)","    9,538 (8,833, 10,704)","2.1% (1.5%, 2.5%)","  2,803 (1,974, 3,455)","0.4% (0.2%, 0.6%)","    548 (242, 795)","69.8% (65.7%, 72.2%)","59.3% (53.9%, 62.1%)","30.8% (21.8%, 35.3%)","10.4% (4.6%, 13.8%)"
0664000,38.5666321567,-121.468299801,CA,Sacramento,501890,"1.07 (1.01, 1.13)","18.1% (18.1%, 19.9%)","   90,809 (91,037, 99,782)","11.5% (11.4%, 12.6%)","   57,710 (56,994, 63,419)","4.8% (4.6%, 5.2%)"," 24,219 (23,143, 26,132)","2.1% (1.8%, 2.2%)"," 10,324 (8,891, 11,021)","82.9% (81.3%, 83.8%)","73.4% (70.7%, 74.2%)","54.1% (49.6%, 54.3%)","35.9% (29.6%, 35.9%)"
0664224,36.6889174321,-121.631811961,CA,Salinas,157594,"1.24 (1.08, 1.32)","18.5% (18.1%, 19.9%)","   29,170 (28,535, 31,286)","11.9% (11.2%, 12.9%)","   18,754 (17,679, 20,326)","5.2% (4.8%, 5.6%)","  8,157 (7,537, 8,825)","2.7% (2.3%, 2.9%)","  4,207 (3,581, 4,561)","86.8% (83.8%, 87.5%)","78.5% (73.6%, 79.5%)","61.9% (55.5%, 62.7%)","47.6% (39.0%, 48.3%)"
0665000,34.1392322844,-117.295272732,CA,San Bernardino,216983,"1.24 (1.1, 1.31)","20.1% (19.9%, 21.7%)","   43,590 (43,270, 47,157)","13.0% (12.4%, 14.2%)","   28,114 (27,002, 30,735)","5.2% (4.7%, 5.7%)"," 11,232 (10,234, 12,275)","2.4% (2.0%, 2.6%)","  5,275 (4,435, 5,709)","86.6% (84.0%, 87.3%)","77.7% (73.2%, 78.6%)","58.4% (51.6%, 58.9%)","43.0% (34.5%, 43.1%)"
0665042,34.2743610206,-119.231436551,CA,San Buenaventura (Ventura),110784,"1.02 (0.89, 1.17)","18.0% (17.4%, 20.5%)","   19,958 (19,254, 22,755)","11.6% (10.9%, 13.3%)","   12,813 (12,076, 14,782)","4.8% (4.1%, 5.6%)","  5,264 (4,529, 6,184)","1.8% (1.1%, 2.2%)","  1,946 (1,257, 2,439)","80.9% (77.1%, 83.6%)","71.1% (65.8%, 74.3%)","50.1% (41.8%, 53.8%)","29.5% (18.9%, 33.8%)"
